"","Metabolite","Estimate","SE","LCI","UCI","Pval"
"16","L.VLDL.PL",1.16019741832043,0.0737644024341852,1.00078857381881,1.33706612883861,0.0439687396439798
"105","XL.VLDL.CE..",0.855560564814332,0.0774876717963188,0.736211374103196,0.997708887765548,0.044093304653536
"218","Leu",1.17150216805887,0.0787052756661642,1.00383081440334,1.36689533187029,0.0443113399600148
"96","S.HDL.FC",1.1684307068421,0.0795134243576522,1.00059667376632,1.36574148709711,0.0502679696908789
"127","XS.VLDL.TG..",1.15784293476276,0.0755514440795903,0.997728520335328,1.341842416553,0.0523974937032538
"131","IDL.FC..",0.887745180276802,0.061735521386915,0.783833519638638,1.00663600671242,0.0537656289436074
"3","XXL.VLDL.C",1.15140661003474,0.0732737804387076,0.993356570817066,1.32480512052414,0.0543450378088508
"223","AcAce",1.16386893234249,0.0790054031768876,0.997138294759341,1.35888110821563,0.0547630511711416
"88","M.HDL.CE",1.15671977449444,0.0759424278274706,0.99612982657417,1.34182289151845,0.055226917283011
"10","XL.VLDL.C",1.15093166164488,0.0733990632569033,0.992863670282896,1.32473779645391,0.0554707037719567
"52","L.LDL.C",0.864959341079934,0.0765469394312683,0.744407068597449,1.00507150474039,0.0580641488352428
"217","Ile",1.15810228245788,0.0781037891132493,0.993919981249511,1.35019836829526,0.0601996084313165
"76","XL.HDL.TG",1.14714665394051,0.0738026338668987,0.989578122737413,1.32217254142888,0.0628763446028432
"87","M.HDL.C",1.15109660317423,0.0761384904610474,0.990993752211331,1.33591012959969,0.0645812069163414
"152","XL.HDL.TG..",1.1512344485871,0.0765864838138058,0.990715924611214,1.33783696238193,0.065930058846633
"37","XS.VLDL.PL",0.867366221054986,0.0778732387861456,0.743640880886142,1.00922636500705,0.0676619662757712
"44","IDL.PL",0.869382559747576,0.0769874407738609,0.747401457979321,1.01079919601613,0.0690465581374944
"122","S.VLDL.TG..",1.15004936349887,0.0770262989621798,0.990037410478615,1.33915355974929,0.0695196527656611
"17","L.VLDL.C",1.14390435261559,0.0741344960175075,0.986257109519771,1.31943170113977,0.0697456492362411
"53","L.LDL.CE",0.870309834477021,0.0766433723065105,0.748694402757913,1.01123939944378,0.0699293463009641
"219","Val",1.15247355853248,0.0793175393464923,0.986999650546594,1.34715880033593,0.0735915194059682
"135","L.LDL.CE..",0.889946648816414,0.0655562646769195,0.78373761069949,1.0177262077232,0.0753168998810594
"50","L.LDL.L",0.873533428612437,0.0767984123148627,0.751408355946166,1.01552556936707,0.0783114313442647
"11","XL.VLDL.CE",1.13660540871283,0.0735644905222233,0.980213409102062,1.30861261833478,0.0817542986360828
"194","DHA",0.872282647738772,0.0787363727893443,0.746337142191586,1.01625977883622,0.0826639804248741
"151","XL.HDL.FC..",1.15036756879729,0.0818561356693562,0.985375261430725,1.35737475135306,0.0870232413048467
"113","M.VLDL.PL..",0.876035406102578,0.0774019717685409,0.750846245023875,1.01716430585684,0.0872864228311782
"100","XXL.VLDL.CE..",0.872265347571104,0.0808908626960829,0.746455805019792,1.02516062723295,0.0911319578682115
"102","XXL.VLDL.TG..",1.33370528429594,0.173451652774022,0.981494399172436,1.91756442509101,0.0968782098998949
"212","Glol",1.13945985669514,0.0787085425639007,0.977939853534121,1.3316521563865,0.0971750282413442
"180","Serum.TG",1.13575257649669,0.0771182401543608,0.976696690866457,1.32166106158967,0.0988093447500697
"49","L.LDL.P",0.880419136295315,0.0775864484602246,0.755243509347063,1.02383953993056,0.10069623745325
"185","TG.PG",1.13281039697442,0.0774927198600927,0.973426102972653,1.31920625500051,0.10757166515404
"115","M.VLDL.CE..",0.886982059769655,0.0747816253962084,0.766608365717884,1.02780198082885,0.108770671075723
"27","M.VLDL.TG",1.12855290204966,0.0755027332813639,0.971518799214132,1.3064917515537,0.109211808037256
